Param: searchString,Param: cacheSize,Param: accumulationPolicy,Param: unmatchedPolicy,Score
,-1,INTERSECTION,EXACT,"1,237,790,648.36"
,104857600,INTERSECTION,EXACT,"1,231,783,505.39"
,-1,INTERSECTION,BACKTRACKING,"1,230,538,669.21"
,104857600,INTERSECTION,BACKTRACKING,"1,217,748,892.35"
,1024,INTERSECTION,BACKTRACKING,"1,192,661,780.16"
,-1,UNION,BACKTRACKING,"1,168,054,075.45"
,1024,INTERSECTION,EXACT,"1,167,454,915.59"
,104857600,UNION,EXACT,"1,165,583,182.78"
,-1,UNION,EXACT,"1,164,515,916.21"
,104857600,UNION,BACKTRACKING,"1,162,117,384.45"
,1024,UNION,BACKTRACKING,"1,156,423,549.59"
,0,INTERSECTION,BACKTRACKING,"1,146,711,004.56"
,0,INTERSECTION,EXACT,"1,144,907,871.36"
,0,UNION,EXACT,"1,143,911,310.31"
,0,UNION,BACKTRACKING,"1,132,279,614.31"
,1024,UNION,EXACT,"1,128,098,070.71"
nosuchstring,104857600,INTERSECTION,EXACT,"3,896,520.28"
nosuchstring,-1,INTERSECTION,EXACT,"3,808,296.93"
nosuchstring,1024,INTERSECTION,EXACT,"3,740,146.20"
nosuchstring,-1,UNION,EXACT,"3,625,876.80"
nosuchstring,0,INTERSECTION,EXACT,"3,610,794.09"
nosuchstring,104857600,UNION,EXACT,"3,583,591.28"
nosuchstring,1024,UNION,EXACT,"3,544,551.86"
nosuchstring,0,UNION,EXACT,"3,535,672.18"
washington,104857600,INTERSECTION,EXACT,"1,835,424.10"
washington,-1,INTERSECTION,BACKTRACKING,"1,829,626.04"
washington,-1,INTERSECTION,EXACT,"1,808,739.43"
washington,104857600,INTERSECTION,BACKTRACKING,"1,791,670.11"
washington,104857600,UNION,EXACT,"1,675,420.15"
washington,-1,UNION,BACKTRACKING,"1,671,567.49"
washington,104857600,UNION,BACKTRACKING,"1,659,171.51"
washington,-1,UNION,EXACT,"1,626,866.93"
washington,1024,INTERSECTION,EXACT,"1,584,327.49"
washington,0,INTERSECTION,BACKTRACKING,"1,564,647.02"
washington,0,UNION,BACKTRACKING,"1,548,676.68"
washington,0,UNION,EXACT,"1,521,717.40"
washington,1024,INTERSECTION,BACKTRACKING,"1,507,181.95"
washington,0,INTERSECTION,EXACT,"1,493,778.75"
washington,1024,UNION,BACKTRACKING,"1,451,019.06"
washington,1024,UNION,EXACT,"1,428,808.07"
wa sh,104857600,INTERSECTION,BACKTRACKING,"1,063,701.52"
wa sh,-1,INTERSECTION,EXACT,"1,005,200.68"
wa sh,104857600,INTERSECTION,EXACT,"997,658.92"
wa sh,-1,INTERSECTION,BACKTRACKING,"991,806.13"
nosuchstring,-1,INTERSECTION,BACKTRACKING,"862,501.20"
nosuchstring,104857600,INTERSECTION,BACKTRACKING,"839,366.93"
nosuchstring,-1,UNION,BACKTRACKING,"797,887.52"
nosuchstring,104857600,UNION,BACKTRACKING,"784,927.14"
wa sh,-1,UNION,EXACT,"575,881.33"
wa sh,104857600,UNION,BACKTRACKING,"574,892.46"
wa sh,-1,UNION,BACKTRACKING,"572,105.54"
wa sh,104857600,UNION,EXACT,"561,927.76"
nosuchstring,0,INTERSECTION,BACKTRACKING,"452,838.48"
nosuchstring,1024,INTERSECTION,BACKTRACKING,"450,111.35"
nosuchstring,0,UNION,BACKTRACKING,"446,820.01"
nosuchstring,1024,UNION,BACKTRACKING,"434,274.57"
wa sh,1024,INTERSECTION,EXACT,"407,982.83"
wa sh,1024,INTERSECTION,BACKTRACKING,"401,051.07"
wa sh,0,INTERSECTION,BACKTRACKING,"390,471.15"
wa sh,0,INTERSECTION,EXACT,"387,064.85"
wa sh,0,UNION,EXACT,"295,202.61"
wa sh,1024,UNION,BACKTRACKING,"294,554.46"
wa sh,1024,UNION,EXACT,"294,055.95"
wa sh,0,UNION,BACKTRACKING,"291,379.73"
a b c d e,-1,INTERSECTION,BACKTRACKING,"61,285.40"
a b c d e,104857600,INTERSECTION,EXACT,"61,200.75"
a b c d e,104857600,INTERSECTION,BACKTRACKING,"59,061.14"
a b c d e,-1,INTERSECTION,EXACT,"57,200.97"
a b c d e g h i l m n p r s u v y,-1,INTERSECTION,BACKTRACKING,"50,336.53"
a b c d e g h i l m n p r s u v y,104857600,INTERSECTION,EXACT,"46,834.73"
a b c d e g h i l m n p r s u v y,104857600,INTERSECTION,BACKTRACKING,"46,384.98"
a b c d e,104857600,UNION,EXACT,"46,229.03"
a b c d e g h i l m n p r s u v y,-1,INTERSECTION,EXACT,"45,564.40"
a b c d e,104857600,UNION,BACKTRACKING,"44,862.43"
a b c d e,-1,UNION,BACKTRACKING,"44,715.51"
a b c d e,-1,UNION,EXACT,"44,134.52"
a b c d e g h i l m n p r s u v y,-1,UNION,BACKTRACKING,"17,592.26"
a b c d e g h i l m n p r s u v y,104857600,UNION,EXACT,"17,441.51"
a b c d e g h i l m n p r s u v y,104857600,UNION,BACKTRACKING,"17,394.78"
a b c d e g h i l m n p r s u v y,-1,UNION,EXACT,"17,219.33"
a b c d e,1024,INTERSECTION,EXACT,"12,866.07"
a b c d e,1024,INTERSECTION,BACKTRACKING,"12,421.58"
a b c d e,0,INTERSECTION,BACKTRACKING,"12,362.83"
a b c d e,0,INTERSECTION,EXACT,"12,303.67"
a b c d e,1024,UNION,EXACT,"11,286.48"
a b c d e,1024,UNION,BACKTRACKING,"11,256.34"
a b c d e,0,UNION,EXACT,"11,230.63"
a b c d e,0,UNION,BACKTRACKING,"10,890.82"
a b c d e g h i l m n p r s u v y,1024,INTERSECTION,BACKTRACKING,"5,009.75"
a b c d e g h i l m n p r s u v y,1024,INTERSECTION,EXACT,"4,958.79"
a b c d e g h i l m n p r s u v y,0,INTERSECTION,EXACT,"4,740.68"
a b c d e g h i l m n p r s u v y,0,INTERSECTION,BACKTRACKING,"4,736.00"
a b c d e g h i l m n p r s u v y,1024,UNION,BACKTRACKING,"3,993.31"
a b c d e g h i l m n p r s u v y,1024,UNION,EXACT,"3,934.57"
a b c d e g h i l m n p r s u v y,0,UNION,BACKTRACKING,"3,924.49"
a b c d e g h i l m n p r s u v y,0,UNION,EXACT,"3,868.85"
