Benchmark,Param: listSize,Param: maxItems,Score
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,100,1,"1,713,828.03"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,100,10,"1,087,559.52"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,100,1,"334,518.60"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,100,10,"328,914.09"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,100,1000,"326,065.25"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,100,1000,"247,411.02"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,100,10,"224,536.15"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,100,1,"204,784.06"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,100,1000,"175,116.16"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000",1,"173,768.73"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000",10,"162,543.04"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,100,1,"35,197.21"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,100,1000,"17,727.97"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,100,10,"17,675.33"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"10,000",10,"10,873.98"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"10,000",1,"10,156.11"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000",1,"8,880.12"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000",1000,"8,805.37"
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000",10,"8,787.84"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000",1,"7,517.15"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000",10,"7,508.30"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000",1000,"6,710.23"
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000",1000,"6,517.15"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000",1,"5,416.61"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000",10,"4,656.43"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000",1000,"4,415.84"
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"10,000",1000,"1,200.71"
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"10,000",10,952.41
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"10,000",1,947.81
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"10,000",1000,909.84
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"10,000",1,566.91
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"10,000",1000,559.42
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"10,000",10,529.71
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"10,000",10,475.26
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"10,000",1000,458.85
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"10,000",1,446.51
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"100,000",1000,215.34
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"100,000",1,126.05
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"100,000",1000,99.75
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"100,000",10,98.69
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"100,000",1,84.33
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"100,000",10,81.07
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"100,000",1000,27.82
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"100,000",10,22.38
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"100,000",1,20.77
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"100,000",10,19.72
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000,000",10,16.88
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"100,000",1,15.80
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"100,000",1000,15.53
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000,000",1,12.84
com.zigurs.karlis.utils.search.bench.SortOperations.partialSort,"1,000,000",1000,10.57
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000,000",1000,9.43
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000,000",10,9.28
com.zigurs.karlis.utils.search.bench.SortOperations.parallelSort,"1,000,000",1,9.19
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000,000",1000,2.15
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000,000",1,2.01
com.zigurs.karlis.utils.search.bench.SortOperations.collectionsSort,"1,000,000",10,1.79
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000,000",1,1.15
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000,000",10,1.07
com.zigurs.karlis.utils.search.bench.SortOperations.streamSort,"1,000,000",1000,1.04
