"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: listSize","Param: maxItems","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove","thrpt",8,6,26983.976626,1427.307602,"ops/s",,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",8,6,123271.870745,14785.116325,"ops/s",,0,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",8,6,31579.508542,1028.528792,"ops/s",,0,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",8,6,91692.362203,14075.428112,"ops/s",,0,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",8,6,120480.203211,16484.678607,"ops/s",,1024,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",8,6,31370.170438,962.165909,"ops/s",,1024,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",8,6,89110.032774,17031.655886,"ops/s",,1024,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",8,6,124908.725564,10230.152437,"ops/s",,-1,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",8,6,31191.842742,1670.715159,"ops/s",,-1,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",8,6,93716.882821,10077.735438,"ops/s",,-1,,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1143911310.308299,17258445.728643,"ops/s",UNION,0,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1132279614.305774,51754931.981963,"ops/s",UNION,0,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3535672.183480,158598.690068,"ops/s",UNION,0,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,446820.008554,18497.880313,"ops/s",UNION,0,,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1521717.400137,28458.226865,"ops/s",UNION,0,,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1548676.683621,60289.734249,"ops/s",UNION,0,,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,295202.613873,7803.397253,"ops/s",UNION,0,,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,291379.728121,2910.057472,"ops/s",UNION,0,,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,11230.630070,82.995053,"ops/s",UNION,0,,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,10890.820324,192.530124,"ops/s",UNION,0,,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3868.848423,196.732802,"ops/s",UNION,0,,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3924.491150,20.176952,"ops/s",UNION,0,,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1128098070.708417,183840933.957863,"ops/s",UNION,1024,,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,1156423549.585146,16335534.968964,"ops/s",UNION,1024,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,3544551.855825,53504.841003,"ops/s",UNION,1024,,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",8,6,434274.567286,14194.166692,"ops/s",UNION,1024,,,nosuchstring,BACKTRACKING
