"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove","thrpt",1,25,21818.473662,1259.687421,"ops/s",,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,312441.902396,6673.044200,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,97396.729106,2222.311672,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,215045.173290,6047.987653,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,307866.864678,7292.982110,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,97434.542202,3242.784158,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,210432.322476,4796.278345,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,313309.541769,7141.360191,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,100548.428819,2227.044187,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,212761.112950,5602.374209,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,300651075.557186,4455549.996374,"ops/s",UNION,0,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,298393846.812545,5770880.781426,"ops/s",UNION,0,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,943343.812791,19253.324264,"ops/s",UNION,0,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,119998.390223,4042.347707,"ops/s",UNION,0,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,445871.553490,9336.512045,"ops/s",UNION,0,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,442288.091086,9925.389754,"ops/s",UNION,0,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,81346.406732,1423.261916,"ops/s",UNION,0,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,82812.645400,1360.019231,"ops/s",UNION,0,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2274.441414,31.938044,"ops/s",UNION,0,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2257.174371,53.802716,"ops/s",UNION,0,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,807.341023,16.079022,"ops/s",UNION,0,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,798.494824,9.084399,"ops/s",UNION,0,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,296006122.490626,4382194.105231,"ops/s",UNION,1024,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,297585301.699178,4378331.789011,"ops/s",UNION,1024,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,938458.985319,22411.421414,"ops/s",UNION,1024,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,116580.071432,2563.536570,"ops/s",UNION,1024,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,446508.355779,8886.490126,"ops/s",UNION,1024,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,440805.293286,7507.307908,"ops/s",UNION,1024,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,79853.265411,1515.261343,"ops/s",UNION,1024,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,79590.398651,2173.217729,"ops/s",UNION,1024,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2237.619372,71.975368,"ops/s",UNION,1024,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2264.715235,45.226284,"ops/s",UNION,1024,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,790.787712,28.212030,"ops/s",UNION,1024,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,799.213032,12.155302,"ops/s",UNION,1024,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,302083998.224432,7474126.393079,"ops/s",UNION,104857600,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,267625983.225146,45735793.273910,"ops/s",UNION,104857600,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,924644.000302,12178.045010,"ops/s",UNION,104857600,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,239874.627244,5624.815866,"ops/s",UNION,104857600,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,532695.185151,9495.166861,"ops/s",UNION,104857600,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,523184.962710,13379.518542,"ops/s",UNION,104857600,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,161388.399429,2618.477595,"ops/s",UNION,104857600,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,162727.956343,2293.634806,"ops/s",UNION,104857600,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,9796.918596,283.019549,"ops/s",UNION,104857600,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,10116.161920,330.407494,"ops/s",UNION,104857600,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,3976.057606,62.628848,"ops/s",UNION,104857600,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,4023.757592,66.279620,"ops/s",UNION,104857600,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,297376515.145206,5106187.383539,"ops/s",UNION,-1,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,297329167.753491,10148375.779059,"ops/s",UNION,-1,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,931601.392987,17846.783673,"ops/s",UNION,-1,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,236272.241627,4183.705094,"ops/s",UNION,-1,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,525200.989494,15225.797227,"ops/s",UNION,-1,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,533531.455218,9146.662178,"ops/s",UNION,-1,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,161703.818292,1313.147108,"ops/s",UNION,-1,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,163599.404677,3041.131868,"ops/s",UNION,-1,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,10114.092365,323.848163,"ops/s",UNION,-1,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,9810.713997,331.807083,"ops/s",UNION,-1,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,4060.943940,80.465053,"ops/s",UNION,-1,"a b c d e g h i l m n p r s u v y",EXACT
