"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove","thrpt",1,25,25987.333056,1405.108816,"ops/s",,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,340105.961659,9791.732114,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,109621.647169,2027.726645,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,230484.314490,8292.695611,"ops/s",,0,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,331596.122829,6166.254751,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,107830.061739,1876.030237,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,223766.061090,4880.428218,"ops/s",,1024,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w","thrpt",2,25,339579.287851,7307.183626,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:addAndRemove","thrpt",2,25,109235.462386,2498.085378,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.w:read","thrpt",2,25,230343.825466,4989.541272,"ops/s",,-1,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,359098310.073336,10196636.182634,"ops/s",UNION,0,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,342730227.005946,9436994.946074,"ops/s",UNION,0,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1007642.605516,12375.313431,"ops/s",UNION,0,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,145387.409496,2761.064488,"ops/s",UNION,0,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,531884.319298,11774.024168,"ops/s",UNION,0,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,539536.787347,6475.771738,"ops/s",UNION,0,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,20920.232575,125.337605,"ops/s",UNION,0,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,20813.539162,185.451524,"ops/s",UNION,0,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2332.588799,7.654677,"ops/s",UNION,0,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2334.201379,11.341868,"ops/s",UNION,0,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1359.137385,9.562946,"ops/s",UNION,0,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1365.875151,5.982912,"ops/s",UNION,0,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,347185053.001940,9955658.607690,"ops/s",UNION,1024,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,359207655.345621,2887041.760908,"ops/s",UNION,1024,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1024105.286911,22116.237533,"ops/s",UNION,1024,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,142063.914023,2919.281064,"ops/s",UNION,1024,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,542180.629504,9151.814906,"ops/s",UNION,1024,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,512222.808826,17222.202323,"ops/s",UNION,1024,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,21575.789131,156.445945,"ops/s",UNION,1024,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,21175.513208,137.348120,"ops/s",UNION,1024,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2356.488641,7.509822,"ops/s",UNION,1024,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,2360.088649,22.235011,"ops/s",UNION,1024,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1385.875903,8.875417,"ops/s",UNION,1024,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,1383.502433,7.613585,"ops/s",UNION,1024,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,362540538.313608,3987565.999829,"ops/s",UNION,104857600,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,25,362109161.454038,1512747.546940,"ops/s",UNION,104857600,,BACKTRACKING
