"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove","thrpt",1,9,22996.145148,1320.923781,"ops/s",,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,268262.237994,13229.602391,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,89863.694501,3984.315480,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,178398.543493,9571.733321,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,269653.579618,27217.872583,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,91086.567595,7344.635696,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,178567.012023,19901.550168,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,271712.693586,24958.132884,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,91946.420733,7063.799356,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,179766.272853,18068.599915,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,286442231.727530,5145559.868752,"ops/s",UNION,0,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,288080836.202791,11234892.576140,"ops/s",UNION,0,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,810096.608207,17451.698593,"ops/s",UNION,0,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,105520.100265,3516.658020,"ops/s",UNION,0,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,411151.203803,4794.743608,"ops/s",UNION,0,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,409183.061563,6559.531421,"ops/s",UNION,0,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,70970.513810,2650.622612,"ops/s",UNION,0,,"wa sh",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,74112.955844,2578.713959,"ops/s",UNION,0,,"wa sh",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1585.159937,23.163108,"ops/s",UNION,0,,"a b c d e",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,1602.243886,38.292640,"ops/s",UNION,0,,"a b c d e",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,542.897410,18.172836,"ops/s",UNION,0,,"a b c d e g h i l m n p r s u v y",EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,543.591817,14.957058,"ops/s",UNION,0,,"a b c d e g h i l m n p r s u v y",BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,292257486.971501,4664495.040285,"ops/s",UNION,1024,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,291352826.364872,2851347.180227,"ops/s",UNION,1024,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,793735.510306,26789.119888,"ops/s",UNION,1024,,nosuchstring,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,103939.381104,2899.625164,"ops/s",UNION,1024,,nosuchstring,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,412341.320069,13422.653650,"ops/s",UNION,1024,,washington,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,410346.353095,6252.028908,"ops/s",UNION,1024,,washington,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,70159.490241,557.989039,"ops/s",UNION,1024,,"wa sh",EXACT
