"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: accumulationPolicy","Param: cacheSize","Param: fjEnabled","Param: searchString","Param: unmatchedPolicy"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.addAndRemove","thrpt",1,9,25769.621931,2529.761622,"ops/s",,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,322909.978918,26493.040917,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,107770.547121,8024.730533,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,215139.431797,18607.009190,"ops/s",,0,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,319759.947842,42572.536042,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,106575.747406,13609.514086,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,213184.200436,28981.116028,"ops/s",,1024,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw","thrpt",2,9,295082.842245,36637.154686,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:addAndRemove","thrpt",2,9,98554.029214,11501.456304,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.rw:read","thrpt",2,9,196528.813031,25525.901673,"ops/s",,-1,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,334271914.712179,4854220.176505,"ops/s",UNION,0,,,EXACT
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,323195713.385197,22894178.725718,"ops/s",UNION,0,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.run","thrpt",1,9,922663.542877,18589.385116,"ops/s",UNION,0,,nosuchstring,EXACT
