"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: intern","Param: merge","Param: parallel","Param: query","Param: size","Param: type","Param: unmatched"
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.multi","thrpt",8,9,21251.137383,604.216940,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.AddDeleteOperations.single","thrpt",1,9,25402.703788,1459.150082,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt","thrpt",8,9,58237.928939,4029.753064,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:addAndRemove_multi","thrpt",8,9,31000.695277,1233.601713,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.mt:read_multi","thrpt",8,9,27237.233662,4799.528749,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st","thrpt",2,9,248334.443562,40778.132453,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:addAndRemove_single","thrpt",2,9,88984.474329,11220.673067,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.MixedOperations.st:read_single","thrpt",2,9,159349.969233,30290.084820,"ops/s",,,,,,,
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1120029855.951728,21014810.877007,"ops/s",true,UNION,true,,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1117054030.749260,15756543.609658,"ops/s",true,UNION,true,,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,2450610.826155,56255.263097,"ops/s",true,UNION,true,nosuchstring,,,IGNORE
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,375479.382180,4608.111056,"ops/s",true,UNION,true,nosuchstring,,,BACKTRACKING
"com.zigurs.karlis.utils.search.bench.ReadOnlyOperations.multi","thrpt",8,9,1362507.987177,22266.417263,"ops/s",true,UNION,true,washington,,,IGNORE
